"ID","Genotype","APA","Year","TrainSessionCombo","NumEntrances","NumShock","TimeTarget","Time1stEntr","Time1stShock","entranceshockequal","firstentranceshockequal"
"16-120A","FMR1-KO","trained_trained","2016","Retention",6,12,31.398,244.53,244.53,"not equal","equal"
"16-125A","WT","trained_trained","2016","Retention",6,14,27.632,238.63,238.63,"not equal","equal"
"16-116C","FMR1-KO","trained_conflict","2016","Retention",6,15,25.601,83.9,83.9,"not equal","equal"
"16-126B","WT","yoked_trained","2016","T6_C3",6,17,37.767,33.4,33.4,"not equal","equal"
"15142B","WT","yoked_conflict","2015","Retest",6,17,73.032,88.6,88.6,"not equal","equal"
"16-122A","WT","trained_trained","2016","Retention",6,18,37.101,291.2,291.2,"not equal","equal"
"15141C","WT","trained_trained","2015","T5_C2",7,7,3.901,0.33,0.33,"equal","equal"
"15142A","WT","trained_conflict","2015","T1",7,7,4.668,3.83,3.83,"equal","equal"
"16-121D","FMR1-KO","trained_conflict","2016","T3",7,7,5.133,27.13,27.13,"equal","equal"
"15140C","WT","trained_trained","2015","T2",7,7,5.766,9.8,9.8,"equal","equal"
"16-125C","WT","trained_conflict","2016","T2",7,7,6.235,15.1,15.1,"equal","equal"
"15148C","WT","trained_conflict","2015","T1",7,7,6.666,0.87,0.87,"equal","equal"
"16-120A","FMR1-KO","trained_trained","2016","Retest",7,7,7.134,19.53,19.53,"equal","equal"
"16-120B","FMR1-KO","trained_trained","2016","T3",7,7,7.166,60.97,60.97,"equal","equal"
"16-357C","WT","trained_trained","2016","T1",7,7,7.234,14.13,14.13,"equal","equal"
"15148A","WT","trained_conflict","2015","T1",7,7,7.266,8.73,8.73,"equal","equal"
"15141C","WT","trained_trained","2015","Retest",7,7,8.133,41.17,41.17,"equal","equal"
"16-124B","WT","trained_trained","2016","T2",7,7,8.299,28.3,28.3,"equal","equal"
"15142A","WT","trained_conflict","2015","T4_C1",7,7,8.499,33.77,33.77,"equal","equal"
"16-120B","FMR1-KO","trained_trained","2016","T1",7,8,8.198,0.5,0.5,"not equal","equal"
"16-123A","WT","trained_trained","2016","T3",7,8,9.033,90.07,90.07,"not equal","equal"
"15140C","WT","trained_trained","2015","T5_C2",7,8,9.968,71.33,71.33,"not equal","equal"
"16-118A","FMR1-KO","trained_trained","2016","T6_C3",7,8,10.8,60.63,60.63,"not equal","equal"
