"yoked","trained.x","ID.x","Genotype.x","APA.x","Year.x","TrainGroup.x","TrainSequence.x","TrainSessionCombo.x","NumShock.x","NumEntrances.x","TimeTarget.x","Time1stEntr.x","Time1stShock.x","entranceshockequal.x","firstentranceshockequal.x","trained.y","ID.y","Genotype.y","APA.y","Year.y","TrainGroup.y","TrainSequence.y","TrainSessionCombo.y","NumShock.y","NumEntrances.y","TimeTarget.y","Time1stEntr.y","Time1stShock.y","entranceshockequal.y","firstentranceshockequal.y"
"16-123D_T1_1","16-123C_T1_1","16-123D","WT","yoked_conflict","2016","yoked","train-conflict","T1",39,13,75.937,24.7,24.7,"not equal","equal","16-123C_T1_1","16-123C","WT","trained_conflict","2016","trained","train-conflict","T1",9,9,10.366,2.77,2.77,"equal","equal"
"16-117B_Retest_2","16-117A_Retest_2","16-117B","FMR1-KO","yoked_trained","2016","yoked","train-train","Retest",39,11,75.834,28.33,28.33,"not equal","equal","16-117A_Retest_2","16-117A","FMR1-KO","trained_trained","2016","trained","train-train","Retest",4,3,5.368,169.5,169.5,"not equal","equal"
"15141B_T1_1","15141A_T1_1","15141B","WT","yoked_conflict","2015","yoked","train-conflict","T1",40,21,115.171,90.93,90.93,"not equal","equal","15141A_T1_1","15141A","WT","trained_conflict","2015","trained","train-conflict","T1",6,6,6.631,2.57,2.57,"equal","equal"
"15145B_T4_C1_2","15145A_T4_C1_2","15145B","WT","yoked_conflict","2015","yoked","train-conflict","T4_C1",40,18,73.268,14.57,14.57,"not equal","equal","15145A_T4_C1_2","15145A","WT","trained_conflict","2015","trained","train-conflict","T4_C1",29,27,30.201,0.53,0.53,"not equal","equal"
"15148B_T4_C1_2","15148A_T4_C1_2","15148B","WT","yoked_conflict","2015","yoked","train-conflict","T4_C1",40,15,70.166,41,41,"not equal","equal","15148A_T4_C1_2","15148A","WT","trained_conflict","2015","trained","train-conflict","T4_C1",24,17,28.402,6.43,6.43,"not equal","equal"
"15148D_T5_C2_2","15148C_T5_C2_2","15148D","WT","yoked_conflict","2015","yoked","train-conflict","T5_C2",40,15,76.501,13.13,13.13,"not equal","equal","15148C_T5_C2_2","15148C","WT","trained_conflict","2015","trained","train-conflict","T5_C2",28,28,20.163,15,15,"equal","equal"
"16-357D_Hab_1","16-125D_Hab_1","16-357D","WT","yoked_conflict","2016","yoked","train-conflict","Hab",40,16,78.162,0.53,0.53,"not equal","equal","16-125D_Hab_1","16-125D","WT","trained_conflict","2016","trained","train-conflict","Hab",48,24,92.371,1.73,1.73,"not equal","equal"
"16-121A_Hab_1","16-121B_Hab_1","16-121A","FMR1-KO","yoked_trained","2016","yoked","train-train","Hab",40,27,67.602,6.83,6.83,"not equal","equal","16-121B_Hab_1","16-121B","FMR1-KO","trained_trained","2016","trained","train-train","Hab",54,20,109.735,15.5,15.5,"not equal","equal"
"15140D_Retention_3","15140C_Retention_3","15140D","WT","yoked_trained","2015","yoked","train-train","Retention",41,14,82.302,48.93,48.93,"not equal","equal","15140C_Retention_3","15140C","WT","trained_trained","2015","trained","train-train","Retention",0,0,0.833,599.97,599.97,"equal","equal"
"15143D_T5_C2_2","15143C_T5_C2_2","15143D","WT","yoked_trained","2015","yoked","train-train","T5_C2",41,15,85.102,6.83,6.83,"not equal","equal","15143C_T5_C2_2","15143C","WT","trained_trained","2015","trained","train-train","T5_C2",1,1,1.233,18.77,18.77,"equal","equal"
"15148D_Retest_2","15148C_Retest_2","15148D","WT","yoked_conflict","2015","yoked","train-conflict","Retest",41,13,83.668,90.47,90.47,"not equal","equal","15148C_Retest_2","15148C","WT","trained_conflict","2015","trained","train-conflict","Retest",4,4,2.932,226.2,226.2,"equal","equal"
"15148D_Retention_3","15148C_Retention_3","15148D","WT","yoked_conflict","2015","yoked","train-conflict","Retention",41,13,83.498,9.2,9.2,"not equal","equal","15148C_Retention_3","15148C","WT","trained_conflict","2015","trained","train-conflict","Retention",37,9,78.035,21.37,21.37,"not equal","equal"
"16-125B_Hab_1","16-125A_Hab_1","16-125B","WT","yoked_trained","2016","yoked","train-train","Hab",41,24,80.033,0.5,0.5,"not equal","equal","16-125A_Hab_1","16-125A","WT","trained_trained","2016","trained","train-train","Hab",51,31,88.169,0.53,0.53,"not equal","equal"
"16-122D_Hab_1","16-122C_Hab_1","16-122D","WT","yoked_conflict","2016","yoked","train-conflict","Hab",41,21,81.099,31.67,31.67,"not equal","equal","16-122C_Hab_1","16-122C","WT","trained_conflict","2016","trained","train-conflict","Hab",81,30,155.166,3.77,3.77,"not equal","equal"
"16-123D_T4_C1_2","16-123C_T4_C1_2","16-123D","WT","yoked_conflict","2016","yoked","train-conflict","T4_C1",41,13,87.433,13.33,13.33,"not equal","equal","16-123C_T4_C1_2","16-123C","WT","trained_conflict","2016","trained","train-conflict","T4_C1",8,8,7.601,147.67,147.67,"equal","equal"
"16-123D_T+_C+_3","16-123C_T+_C+_3","16-123D","WT","yoked_conflict","2016","yoked","train-conflict","T+_C+",42,13,87.634,10.43,10.43,"not equal","equal","16-123C_T+_C+_3","16-123C","WT","trained_conflict","2016","trained","train-conflict","T+_C+",3,3,2.633,408.67,408.67,"equal","equal"
"16-119B_T1_1","16-119A_T1_1","16-119B","FMR1-KO","yoked_trained","2016","yoked","train-train","T1",42,18,74.032,0.53,0.53,"not equal","equal","16-119A_T1_1","16-119A","FMR1-KO","trained_trained","2016","trained","train-train","T1",10,8,12.565,3.9,3.9,"not equal","equal"
"15146D_T5_C2_2","15146C_T5_C2_2","15146D","WT","yoked_trained","2015","yoked","train-train","T5_C2",43,12,85.434,12.07,12.07,"not equal","equal","15146C_T5_C2_2","15146C","WT","trained_trained","2015","trained","train-train","T5_C2",4,4,3.633,24.37,24.37,"equal","equal"
"15146B_T6_C3_2","15146A_T6_C3_2","15146B","WT","yoked_conflict","2015","yoked","train-conflict","T6_C3",43,11,85.67,0.53,0.53,"not equal","equal","15146A_T6_C3_2","15146A","WT","trained_conflict","2015","trained","train-conflict","T6_C3",1,1,1.133,372.7,372.7,"equal","equal"
"15146B_Retention_3","15146A_Retention_3","15146B","WT","yoked_conflict","2015","yoked","train-conflict","Retention",43,11,86,16.8,16.8,"not equal","equal","15146A_Retention_3","15146A","WT","trained_conflict","2015","trained","train-conflict","Retention",0,0,0,599.97,599.97,"equal","equal"
"16-126B_Retention_3","16-126A_Retention_3","16-126B","WT","yoked_trained","2016","yoked","train-train","Retention",43,22,81.434,1,1,"not equal","equal","16-126A_Retention_3","16-126A","WT","trained_trained","2016","trained","train-train","Retention",16,8,28.432,110.43,110.43,"not equal","equal"
"16-122D_Retention_3","16-122C_Retention_3","16-122D","WT","yoked_conflict","2016","yoked","train-conflict","Retention",43,23,81.301,26.53,26.53,"not equal","equal","16-122C_Retention_3","16-122C","WT","trained_conflict","2016","trained","train-conflict","Retention",14,3,27.135,196.97,196.97,"not equal","equal"
"16-124D_T2_1","16-124C_T2_1","16-124D","WT","yoked_conflict","2016","yoked","train-conflict","T2",43,14,84.831,89.47,89.47,"not equal","equal","16-124C_T2_1","16-124C","WT","trained_conflict","2016","trained","train-conflict","T2",3,3,2.332,19.93,19.93,"equal","equal"
"16-117B_T3_1","16-117A_T3_1","16-117B","FMR1-KO","yoked_trained","2016","yoked","train-train","T3",43,13,93.167,36.57,36.57,"not equal","equal","16-117A_T3_1","16-117A","FMR1-KO","trained_trained","2016","trained","train-train","T3",7,5,8.067,64.37,64.37,"not equal","equal"
"16-121A_T5_C2_2","16-121B_T5_C2_2","16-121A","FMR1-KO","yoked_trained","2016","yoked","train-train","T5_C2",43,14,77.332,166.5,166.5,"not equal","equal","16-121B_T5_C2_2","16-121B","FMR1-KO","trained_trained","2016","trained","train-train","T5_C2",3,3,2.933,241.93,241.93,"equal","equal"
"16-120D_T3_1","16-120C_T3_1","16-120D","FMR1-KO","yoked_conflict","2016","yoked","train-conflict","T3",43,10,82.134,11.17,11.17,"not equal","equal","16-120C_T3_1","16-120C","FMR1-KO","trained_conflict","2016","trained","train-conflict","T3",2,2,2.134,46.63,46.63,"equal","equal"
"15146D_T1_1","15146C_T1_1","15146D","WT","yoked_trained","2015","yoked","train-train","T1",44,17,89.267,5.53,5.53,"not equal","equal","15146C_T1_1","15146C","WT","trained_trained","2015","trained","train-train","T1",5,5,4.668,5.63,5.63,"equal","equal"
"15146B_Retest_2","15146A_Retest_2","15146B","WT","yoked_conflict","2015","yoked","train-conflict","Retest",44,13,84.732,0.53,0.53,"not equal","equal","15146A_Retest_2","15146A","WT","trained_conflict","2015","trained","train-conflict","Retest",1,1,0.533,400.37,400.37,"equal","equal"
"15147B_T6_C3_2","15147A_T6_C3_2","15147B","WT","yoked_conflict","2015","yoked","train-conflict","T6_C3",44,11,83.533,62.93,62.93,"not equal","equal","15147A_T6_C3_2","15147A","WT","trained_conflict","2015","trained","train-conflict","T6_C3",9,9,7.869,32.03,32.03,"equal","equal"
"15148B_Retention_3","15148A_Retention_3","15148B","WT","yoked_conflict","2015","yoked","train-conflict","Retention",44,11,89.331,45.93,45.93,"not equal","equal","15148A_Retention_3","15148A","WT","trained_conflict","2015","trained","train-conflict","Retention",40,11,73.8,75.37,75.37,"not equal","equal"
"16-117B_T4_C1_2","16-117A_T4_C1_2","16-117B","FMR1-KO","yoked_trained","2016","yoked","train-train","T4_C1",44,10,83.935,130.57,130.57,"not equal","equal","16-117A_T4_C1_2","16-117A","FMR1-KO","trained_trained","2016","trained","train-train","T4_C1",2,2,2.334,66.53,66.53,"equal","equal"
"16-117B_T5_C2_2","16-117A_T5_C2_2","16-117B","FMR1-KO","yoked_trained","2016","yoked","train-train","T5_C2",44,15,86.304,10.57,10.57,"not equal","equal","16-117A_T5_C2_2","16-117A","FMR1-KO","trained_trained","2016","trained","train-train","T5_C2",2,2,1.666,23.77,23.77,"equal","equal"
"16-116D_Retest_2","16-116C_Retest_2","16-116D","FMR1-KO","yoked_conflict","2016","yoked","train-conflict","Retest",44,17,81.401,0.53,0.53,"not equal","equal","16-116C_Retest_2","16-116C","FMR1-KO","trained_conflict","2016","trained","train-conflict","Retest",2,2,2.2,125.43,125.43,"equal","equal"
"16-116D_T6_C3_2","16-116C_T6_C3_2","16-116D","FMR1-KO","yoked_conflict","2016","yoked","train-conflict","T6_C3",44,13,77.737,19.27,19.27,"not equal","equal","16-116C_T6_C3_2","16-116C","FMR1-KO","trained_conflict","2016","trained","train-conflict","T6_C3",2,2,1.932,0.53,0.53,"equal","equal"
"16-118D_T1_1","16-118C_T1_1","16-118D","FMR1-KO","yoked_conflict","2016","yoked","train-conflict","T1",44,10,86.333,18,18,"not equal","equal","16-118C_T1_1","16-118C","FMR1-KO","trained_conflict","2016","trained","train-conflict","T1",5,5,3.632,9.43,9.43,"equal","equal"
"16-126B_Retention_2","16-126A_Retention_2","16-126B","WT","yoked_trained","2016","yoked","train-train","Retention",45,18,86.768,16.43,16.43,"not equal","equal","16-126A_Retention_2","16-126A","WT","trained_trained","2016","trained","train-train","Retention",39,12,73.571,3.33,3.33,"not equal","equal"
"16-126B_T4_C1_2","16-126A_T4_C1_2","16-126B","WT","yoked_trained","2016","yoked","train-train","T4_C1",45,19,87.235,64.6,64.6,"not equal","equal","16-126A_T4_C1_2","16-126A","WT","trained_trained","2016","trained","train-train","T4_C1",6,6,10.268,13.63,13.63,"equal","equal"
"16-116B_Retest_2","16-116A_Retest_2","16-116B","FMR1-KO","yoked_trained","2016","yoked","train-train","Retest",45,17,91.267,6.3,6.3,"not equal","equal","16-116A_Retest_2","16-116A","FMR1-KO","trained_trained","2016","trained","train-train","Retest",9,8,10.732,26.97,26.97,"not equal","equal"
"16-119B_Retention_3","16-119A_Retention_3","16-119B","FMR1-KO","yoked_trained","2016","yoked","train-train","Retention",45,18,89.866,4.63,4.63,"not equal","equal","16-119A_Retention_3","16-119A","FMR1-KO","trained_trained","2016","trained","train-train","Retention",1,1,1.867,442.87,442.87,"equal","equal"
"16-116D_T+_C+_4","16-116C_T+_C+_4","16-116D","FMR1-KO","yoked_conflict","2016","yoked","train-conflict","T+_C+",45,16,78.634,22.23,22.23,"not equal","equal","16-116C_T+_C+_4","16-116C","FMR1-KO","trained_conflict","2016","trained","train-conflict","T+_C+",2,2,3.199,379.93,379.93,"equal","equal"
"16-124D_T6_C3_2","16-124C_T6_C3_2","16-124D","WT","yoked_conflict","2016","yoked","train-conflict","T6_C3",46,16,83.767,0.53,0.53,"not equal","equal","16-124C_T6_C3_2","16-124C","WT","trained_conflict","2016","trained","train-conflict","T6_C3",14,13,14.531,0.53,0.53,"not equal","equal"
"16-116D_Retention_6","16-116C_Retention_6","16-116D","FMR1-KO","yoked_conflict","2016","yoked","train-conflict","Retention",46,20,84.732,0.53,0.53,"not equal","equal","16-116C_Retention_6","16-116C","FMR1-KO","trained_conflict","2016","trained","train-conflict","Retention",15,6,25.601,83.9,83.9,"not equal","equal"
"15141D_NA_1","15141C_NA_1","15141D","WT","yoked_trained","2015","yoked","train-train",NA,47,16,109.634,4.8,4.8,"not equal","equal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15141D_T4_C1_2","15141C_T4_C1_2","15141D","WT","yoked_trained","2015","yoked","train-train","T4_C1",47,14,95.93,48.2,48.2,"not equal","equal","15141C_T4_C1_2","15141C","WT","trained_trained","2015","trained","train-train","T4_C1",10,10,8.064,39.7,39.7,"equal","equal"
"15142D_T4_C1_2","15142C_T4_C1_2","15142D","WT","yoked_trained","2015","yoked","train-train","T4_C1",47,12,90.399,54.77,54.77,"not equal","equal","15142C_T4_C1_2","15142C","WT","trained_trained","2015","trained","train-train","T4_C1",0,0,0,599.97,599.97,"equal","equal"
"15146D_T3_1","15146C_T3_1","15146D","WT","yoked_trained","2015","yoked","train-train","T3",47,12,99.1,33.03,33.03,"not equal","equal","15146C_T3_1","15146C","WT","trained_trained","2015","trained","train-train","T3",1,1,0.6,526.87,526.87,"equal","equal"
"15146B_T3_1","15146A_T3_1","15146B","WT","yoked_conflict","2015","yoked","train-conflict","T3",47,12,96.832,29.87,29.87,"not equal","equal","15146A_T3_1","15146A","WT","trained_conflict","2015","trained","train-conflict","T3",1,1,0.901,473.43,473.43,"equal","equal"
"15147B_T1_1","15147A_T1_1","15147B","WT","yoked_conflict","2015","yoked","train-conflict","T1",47,17,96.338,2.4,2.4,"not equal","equal","15147A_T1_1","15147A","WT","trained_conflict","2015","trained","train-conflict","T1",6,5,6.132,4.33,4.33,"not equal","equal"
"16-123B_T2_1","16-123A_T2_1","16-123B","WT","yoked_trained","2016","yoked","train-train","T2",47,14,90.033,120.27,120.27,"not equal","equal","16-123A_T2_1","16-123A","WT","trained_trained","2016","trained","train-train","T2",20,13,33.266,48.3,48.3,"not equal","equal"
"16-357A_Hab_1","16-124A_Hab_1","16-357A","WT","yoked_trained","2016","yoked","train-train","Hab",47,25,88.733,0.57,0.57,"not equal","equal","16-124A_Hab_1","16-124A","WT","trained_trained","2016","trained","train-train","Hab",68,32,125.202,10.77,10.77,"not equal","equal"
"16-122D_T3_1","16-122C_T3_1","16-122D","WT","yoked_conflict","2016","yoked","train-conflict","T3",47,20,86.2,13.53,13.53,"not equal","equal","16-122C_T3_1","16-122C","WT","trained_conflict","2016","trained","train-conflict","T3",20,14,30.034,0.53,0.53,"not equal","equal"
"16-122D_T4_C1_2","16-122C_T4_C1_2","16-122D","WT","yoked_conflict","2016","yoked","train-conflict","T4_C1",47,17,87.535,13.7,13.7,"not equal","equal","16-122C_T4_C1_2","16-122C","WT","trained_conflict","2016","trained","train-conflict","T4_C1",9,7,10.402,5.03,5.03,"not equal","equal"
"16-123D_T6_C3_2","16-123C_T6_C3_2","16-123D","WT","yoked_conflict","2016","yoked","train-conflict","T6_C3",47,17,86.035,23.63,23.63,"not equal","equal","16-123C_T6_C3_2","16-123C","WT","trained_conflict","2016","trained","train-conflict","T6_C3",23,20,25.233,74.33,74.33,"not equal","equal"
"16-117B_T1_1","16-117A_T1_1","16-117B","FMR1-KO","yoked_trained","2016","yoked","train-train","T1",47,11,89.433,7.23,7.23,"not equal","equal","16-117A_T1_1","16-117A","FMR1-KO","trained_trained","2016","trained","train-train","T1",8,8,8.601,5.17,5.17,"equal","equal"
"16-116D_T3_1","16-116C_T3_1","16-116D","FMR1-KO","yoked_conflict","2016","yoked","train-conflict","T3",47,15,91.399,2.47,2.47,"not equal","equal","16-116C_T3_1","16-116C","FMR1-KO","trained_conflict","2016","trained","train-conflict","T3",2,2,1.533,57.43,57.43,"equal","equal"
"15140D_T6_C3_2","15140C_T6_C3_2","15140D","WT","yoked_trained","2015","yoked","train-train","T6_C3",48,14,103.202,36.43,36.43,"not equal","equal","15140C_T6_C3_2","15140C","WT","trained_trained","2015","trained","train-train","T6_C3",0,0,0,599.97,599.97,"equal","equal"
"15140D_T+_C+_2","15140C_T+_C+_2","15140D","WT","yoked_trained","2015","yoked","train-train","T+_C+",48,20,106.401,0.67,0.67,"not equal","equal","15140C_T+_C+_2","15140C","WT","trained_trained","2015","trained","train-train","T+_C+",3,2,4.934,201.37,201.37,"not equal","equal"
"15141D_T2_1","15141C_T2_1","15141D","WT","yoked_trained","2015","yoked","train-train","T2",48,19,109.302,16.23,16.23,"not equal","equal","15141C_T2_1","15141C","WT","trained_trained","2015","trained","train-train","T2",19,19,18.398,33.1,33.1,"equal","equal"
"15142D_T2_1","15142C_T2_1","15142D","WT","yoked_trained","2015","yoked","train-train","T2",48,16,98.433,9.6,9.6,"not equal","equal","15142C_T2_1","15142C","WT","trained_trained","2015","trained","train-train","T2",1,1,0.7,454.63,454.63,"equal","equal"
"15145B_T2_1","15145A_T2_1","15145B","WT","yoked_conflict","2015","yoked","train-conflict","T2",48,16,105.634,77.8,77.8,"not equal","equal","15145A_T2_1","15145A","WT","trained_conflict","2015","trained","train-conflict","T2",2,2,3.867,51.63,51.63,"equal","equal"
"15147B_T5_C2_2","15147A_T5_C2_2","15147B","WT","yoked_conflict","2015","yoked","train-conflict","T5_C2",48,15,88.767,10.83,10.83,"not equal","equal","15147A_T5_C2_2","15147A","WT","trained_conflict","2015","trained","train-conflict","T5_C2",5,5,4.965,13.63,13.63,"equal","equal"
"16-119B_Hab_1","16-119A_Hab_1","16-119B","FMR1-KO","yoked_trained","2016","yoked","train-train","Hab",48,25,87.033,12.33,12.33,"not equal","equal","16-119A_Hab_1","16-119A","FMR1-KO","trained_trained","2016","trained","train-train","Hab",52,36,87.091,4.3,4.3,"not equal","equal"
"16-121A_T4_C1_2","16-121B_T4_C1_2","16-121A","FMR1-KO","yoked_trained","2016","yoked","train-train","T4_C1",48,16,88.464,0.53,0.53,"not equal","equal","16-121B_T4_C1_2","16-121B","FMR1-KO","trained_trained","2016","trained","train-train","T4_C1",6,6,4.965,0.83,0.83,"equal","equal"
"15143D_T1_1","15143C_T1_1","15143D","WT","yoked_trained","2015","yoked","train-train","T1",49,26,92.534,2.13,2.13,"not equal","equal","15143C_T1_1","15143C","WT","trained_trained","2015","trained","train-train","T1",10,10,9.198,4.13,4.13,"equal","equal"
"15146D_Retention_3","15146C_Retention_3","15146D","WT","yoked_trained","2015","yoked","train-train","Retention",49,12,106.564,37.03,37.03,"not equal","equal","15146C_Retention_3","15146C","WT","trained_trained","2015","trained","train-train","Retention",4,2,11.1,83.33,83.33,"not equal","equal"
"15147D_T3_1","15147C_T3_1","15147D","WT","yoked_trained","2015","yoked","train-train","T3",49,12,109.592,15.3,15.3,"not equal","equal","15147C_T3_1","15147C","WT","trained_trained","2015","trained","train-train","T3",1,1,1.067,445.53,445.53,"equal","equal"
"15148B_Retest_2","15148A_Retest_2","15148B","WT","yoked_conflict","2015","yoked","train-conflict","Retest",49,18,105.865,15,15,"not equal","equal","15148A_Retest_2","15148A","WT","trained_conflict","2015","trained","train-conflict","Retest",0,0,0,599.97,599.97,"equal","equal"
"16-357D_Retention_3","16-125D_Retention_3","16-357D","WT","yoked_conflict","2016","yoked","train-conflict","Retention",49,21,88.566,13.47,13.47,"not equal","equal","16-125D_Retention_3","16-125D","WT","trained_conflict","2016","trained","train-conflict","Retention",21,11,41.701,158.93,120.97,"not equal","not equal"
"16-117B_T6_C3_2","16-117A_T6_C3_2","16-117B","FMR1-KO","yoked_trained","2016","yoked","train-train","T6_C3",49,12,93.1,0.53,0.53,"not equal","equal","16-117A_T6_C3_2","16-117A","FMR1-KO","trained_trained","2016","trained","train-train","T6_C3",1,1,1.333,374.93,374.93,"equal","equal"
"16-118D_Hab_1","16-118C_Hab_1","16-118D","FMR1-KO","yoked_conflict","2016","yoked","train-conflict","Hab",49,29,87.266,15.53,15.53,"not equal","equal","16-118C_Hab_1","16-118C","FMR1-KO","trained_conflict","2016","trained","train-conflict","Hab",54,30,104.695,0.53,0.53,"not equal","equal"
"15141D_Retest_2","15141C_Retest_2","15141D","WT","yoked_trained","2015","yoked","train-train","Retest",50,15,106.466,35.43,35.43,"not equal","equal","15141C_Retest_2","15141C","WT","trained_trained","2015","trained","train-train","Retest",7,7,8.133,41.17,41.17,"equal","equal"
"15142D_T+_C+_3","15142C_T+_C+_3","15142D","WT","yoked_trained","2015","yoked","train-train","T+_C+",50,24,95.131,0.53,0.53,"not equal","equal","15142C_T+_C+_3","15142C","WT","trained_trained","2015","trained","train-train","T+_C+",1,1,1.234,317.13,317.13,"equal","equal"
"15143D_T6_C3_2","15143C_T6_C3_2","15143D","WT","yoked_trained","2015","yoked","train-train","T6_C3",50,12,103.236,49.87,49.87,"not equal","equal","15143C_T6_C3_2","15143C","WT","trained_trained","2015","trained","train-train","T6_C3",0,0,0,599.97,599.97,"equal","equal"
"15144D_T3_1","15144C_T3_1","15144D","WT","yoked_trained","2015","yoked","train-train","T3",50,12,103.066,34.37,34.37,"not equal","equal","15144C_T3_1","15144C","WT","trained_trained","2015","trained","train-train","T3",2,2,1.4,28.97,28.97,"equal","equal"
"15147D_T4_C1_2","15147C_T4_C1_2","15147D","WT","yoked_trained","2015","yoked","train-train","T4_C1",50,12,93.932,31.8,31.8,"not equal","equal","15147C_T4_C1_2","15147C","WT","trained_trained","2015","trained","train-train","T4_C1",2,2,1.4,297.17,297.17,"equal","equal"
"15147D_T5_C2_2","15147C_T5_C2_2","15147D","WT","yoked_trained","2015","yoked","train-train","T5_C2",50,11,103.302,11.23,11.23,"not equal","equal","15147C_T5_C2_2","15147C","WT","trained_trained","2015","trained","train-train","T5_C2",1,1,0.866,91.23,91.23,"equal","equal"
"15143B_T3_1","15143A_T3_1","15143B","WT","yoked_conflict","2015","yoked","train-conflict","T3",50,16,99.7,19.23,19.23,"not equal","equal","15143A_T3_1","15143A","WT","trained_conflict","2015","trained","train-conflict","T3",1,1,0.633,585.8,585.8,"equal","equal"
"16-122B_T1_1","16-122A_T1_1","16-122B","WT","yoked_trained","2016","yoked","train-train","T1",50,11,91.334,40.33,40.33,"not equal","equal","16-122A_T1_1","16-122A","WT","trained_trained","2016","trained","train-train","T1",12,11,12.599,33.77,33.77,"not equal","equal"
"16-123D_T3_1","16-123C_T3_1","16-123D","WT","yoked_conflict","2016","yoked","train-conflict","T3",50,17,95.799,30.97,30.97,"not equal","equal","16-123C_T3_1","16-123C","WT","trained_conflict","2016","trained","train-conflict","T3",10,10,11.533,37.47,37.47,"equal","equal"
"15142D_Retention_4","15142C_Retention_4","15142D","WT","yoked_trained","2015","yoked","train-train","Retention",51,22,96.399,7.93,7.93,"not equal","equal","15142C_Retention_4","15142C","WT","trained_trained","2015","trained","train-train","Retention",8,3,18.1,482.43,482.43,"not equal","equal"
"15146D_Hab_1","15146C_Hab_1","15146D","WT","yoked_trained","2015","yoked","train-train","Hab",51,25,98.338,1.83,1.83,"not equal","equal","15146C_Hab_1","15146C","WT","trained_trained","2015","trained","train-train","Hab",58,35,101.073,15.8,15.8,"not equal","equal"
"15147D_T6_C3_2","15147C_T6_C3_2","15147D","WT","yoked_trained","2015","yoked","train-train","T6_C3",51,11,97.565,30.03,30.03,"not equal","equal","15147C_T6_C3_2","15147C","WT","trained_trained","2015","trained","train-train","T6_C3",0,0,0,599.97,599.97,"equal","equal"
"15148B_Hab_1","15148A_Hab_1","15148B","WT","yoked_conflict","2015","yoked","train-conflict","Hab",51,35,88.033,14.6,14.6,"not equal","equal","15148A_Hab_1","15148A","WT","trained_conflict","2015","trained","train-conflict","Hab",61,28,117.834,0.5,0.5,"not equal","equal"
"16-125B_Retention_3","16-125A_Retention_3","16-125B","WT","yoked_trained","2016","yoked","train-train","Retention",51,18,94.265,7.9,7.9,"not equal","equal","16-125A_Retention_3","16-125A","WT","trained_trained","2016","trained","train-train","Retention",14,6,27.632,238.63,238.63,"not equal","equal"
"16-357B_Hab_1","16-124B_Hab_1","16-357B","WT","yoked_trained","2016","yoked","train-train","Hab",51,32,88.734,7.93,7.93,"not equal","equal","16-124B_Hab_1","16-124B","WT","trained_trained","2016","trained","train-train","Hab",56,27,99.138,1.03,1.03,"not equal","equal"
"16-124D_Retest_2","16-124C_Retest_2","16-124D","WT","yoked_conflict","2016","yoked","train-conflict","Retest",51,22,103.931,45.23,45.23,"not equal","equal","16-124C_Retest_2","16-124C","WT","trained_conflict","2016","trained","train-conflict","Retest",2,1,3.1,167.53,167.53,"not equal","equal"
"16-124D_T5_C2_2","16-124C_T5_C2_2","16-124D","WT","yoked_conflict","2016","yoked","train-conflict","T5_C2",51,16,103.301,2.63,2.63,"not equal","equal","16-124C_T5_C2_2","16-124C","WT","trained_conflict","2016","trained","train-conflict","T5_C2",21,18,24.934,0.53,0.53,"not equal","equal"
"16-121A_T6_C3_2","16-121B_T6_C3_2","16-121A","FMR1-KO","yoked_trained","2016","yoked","train-train","T6_C3",51,16,105.172,69.27,69.27,"not equal","equal","16-121B_T6_C3_2","16-121B","FMR1-KO","trained_trained","2016","trained","train-train","T6_C3",1,1,0.634,570.7,570.7,"equal","equal"
"15141D_Retention_3","15141C_Retention_3","15141D","WT","yoked_trained","2015","yoked","train-train","Retention",52,19,133.5,19.13,19.13,"not equal","equal","15141C_Retention_3","15141C","WT","trained_trained","2015","trained","train-train","Retention",21,8,35.798,30.53,30.53,"not equal","equal"
"15142D_Hab_1","15142C_Hab_1","15142D","WT","yoked_trained","2015","yoked","train-train","Hab",52,19,105.467,24.33,24.33,"not equal","equal","15142C_Hab_1","15142C","WT","trained_trained","2015","trained","train-train","Hab",57,34,96.867,0.5,0.5,"not equal","equal"
"15145D_Retest_2","15145C_Retest_2","15145D","WT","yoked_trained","2015","yoked","train-train","Retest",52,16,99.998,0.53,0.53,"not equal","equal","15145C_Retest_2","15145C","WT","trained_trained","2015","trained","train-train","Retest",6,5,7.368,28,28,"not equal","equal"
"15147D_Retest_2","15147C_Retest_2","15147D","WT","yoked_trained","2015","yoked","train-train","Retest",52,17,102.338,0.53,0.53,"not equal","equal","15147C_Retest_2","15147C","WT","trained_trained","2015","trained","train-train","Retest",1,1,0.6,433.5,433.5,"equal","equal"
"15147D_Retention_3","15147C_Retention_3","15147D","WT","yoked_trained","2015","yoked","train-train","Retention",52,12,98.271,45.87,45.87,"not equal","equal","15147C_Retention_3","15147C","WT","trained_trained","2015","trained","train-train","Retention",5,2,11.399,492.5,492.5,"not equal","equal"
"15143B_T5_C2_2","15143A_T5_C2_2","15143B","WT","yoked_conflict","2015","yoked","train-conflict","T5_C2",52,16,99.234,10.4,10.4,"not equal","equal","15143A_T5_C2_2","15143A","WT","trained_conflict","2015","trained","train-conflict","T5_C2",2,2,2.1,278.13,278.13,"equal","equal"
"15144B_Retention_3","15144A_Retention_3","15144B","WT","yoked_conflict","2015","yoked","train-conflict","Retention",52,20,107.065,67.2,67.2,"not equal","equal","15144A_Retention_3","15144A","WT","trained_conflict","2015","trained","train-conflict","Retention",0,0,0.034,599.97,599.97,"equal","equal"
