"Genotype.x","Year.x","TrainSequence.x","TrainSessionCombo.x","ID.x","TrainGroup.x","NumShock.x","NumEntrances.x","TimeTarget.x","Time1stEntr.x","Time1stShock.x","ID.y","TrainGroup.y","NumShock.y","NumEntrances.y","TimeTarget.y","Time1stEntr.y","Time1stShock.y"
"WT","2015","train-conflict","T2","15147B","yoked",56,17,114.067,74.9,74.9,"15147A","trained",3,3,2.433,26.77,26.77
"WT","2016","train-train","T+_C+","16-123B","yoked",56,21,115.935,4.67,4.67,"16-123A","trained",5,5,4.967,5.27,5.27
"WT","2016","train-conflict","T5_C2","16-122D","yoked",56,17,109.6,19.67,19.67,"16-122C","trained",6,4,9.236,177.27,177.27
"WT","2016","train-conflict","T+_C+","16-123D","yoked",56,16,107.268,36.27,36.27,"16-123C","trained",3,3,2.768,353.3,353.3
"WT","2016","train-conflict","Retention","16-124D","yoked",56,18,104.637,0.53,0.53,"16-124C","trained",25,8,49.832,234.6,234.6
"FMR1-KO","2016","train-train","T+_C+","16-117B","yoked",56,14,103.235,36.2,36.2,"16-117A","trained",1,1,1.133,475.3,475.3
"FMR1-KO","2016","train-train","T2","16-119B","yoked",56,18,107.168,8.03,8.03,"16-119A","trained",9,9,7.468,41.43,41.43
"WT","2015","train-train","Retention","15144D","yoked",57,22,111.768,0.53,0.53,NA,NA,NA,NA,NA,NA,NA
"WT","2015","train-conflict","Hab","15142B","yoked",57,30,109.031,16.17,16.17,"15142A","trained",60,34,97.965,17.43,17.43
"WT","2015","train-conflict","T2","15143B","yoked",57,12,117.163,30.93,30.93,"15143A","trained",3,3,2.301,27,27
"WT","2015","train-conflict","Retest","15144B","yoked",57,22,106.532,49.07,49.07,"15144A","trained",1,1,1.3,375.97,375.97
"WT","2015","train-conflict","T6_C3","15148D","yoked",57,16,111.132,143.13,143.13,"15148C","trained",23,23,15.599,21.8,21.8
