"Mouse","Year","Genotype","Behavior","E.phy","YokedTo","Conflict","APA","Group","notes","collector","Tube","Slice","Punch","photos","Date","ready.time","start.time","end.time","Slice.collector","Punch.Collector","SliceSize","Punchsize","punch.location","RNAisolationdate","RNAisolator","slice.location","best.location","jobnumber","RNAseqID","Mouse.short","Random","storagebox","year","Purpose","region","X"
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BHD","2","CA4","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BHE","3","CA4","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BHF","4","CA4","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BHG","1","CA2","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BHH","2","CA2","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BHI","3","CA2","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116C","Summer2016","FMR1","","","","Conflict","Trained","FMR1 Conflict Trained","","MK","BHJ","4","CA2","9.6x","6/28/16","17:00","17:05","17:18","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BHP","1","CA3","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BHQ","2","CA3","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BHR","3","CA3","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BHS","4","CA3","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BHT","1","CA1","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BHU","2","CA1","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BHV","3","CA1","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BHW","4","CA1","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BHX","1","DG","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BHY","2","DG","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BHZ","3","DG","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
"16-116D","Summer2016","FMR1","","","","Conflict","Yoked","FMR1 Conflict Yoked","","MK","BIA","4","DG","9.9x","6/29/16","12:45","14:20","14:32","MK","RMH","300",250,"","","",NA,NA,"","","",NA,"3 - BGD - BJO",2016,"Collaboratorium","hippocampus",NA
