Tube,Mouse,Slice,Punch,photos,notes,Date,ready.time,start.time,end.time,Slice.collector,Punch.Collector,SliceSize,Punchsize,punch.location,RNAisolationdate,RNAisolator,slice.location,best location,jobnumber,RNAseqID,Mouse-short,Random,storagebox,year,Purpose,region
BGL,16-126B,1,slice,9.4x,,6/27/16,11:30,11:34,11:48,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BGM,16-126B,2,slice,9.4x,,6/27/16,11:30,11:34,11:48,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BGO,16-126B,3,slice,9.4x,,6/27/16,11:30,11:34,11:48,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BGP,16-126B,4,slice,9.4x,,6/27/16,11:30,11:34,11:48,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BGQ,16-116C,1,CA1,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BGR,16-116C,2,CA1,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BGS,16-116C,3,CA1,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BGT,16-116C,4,CA1,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BGU,16-116C,1,DG,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BGV,16-116C,2,DG,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BGW,16-116C,3,DG,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BGX,16-116C,4,DG,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BGY,16-116C,1,CA3,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BGZ,16-116C,2,CA3,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHA,16-116C,3,CA3,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHB,16-116C,4,CA3,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHC,16-116C,1,CA4,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHD,16-116C,2,CA4,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHE,16-116C,3,CA4,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHF,16-116C,4,CA4,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHG,16-116C,1,CA2,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHH,16-116C,2,CA2,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHI,16-116C,3,CA2,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHJ,16-116C,4,CA2,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHK,16-116C,1,slice,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BHL,16-116C,2,slice,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BHM,16-116C,3,slice,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BHO,16-116C,4,slice,9.6x,,6/28/16,17:00,17:05,17:18,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BHP,16-116D,1,CA3,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHQ,16-116D,2,CA3,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHR,16-116D,3,CA3,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHS,16-116D,4,CA3,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHT,16-116D,1,CA1,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHU,16-116D,2,CA1,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHV,16-116D,3,CA1,9.9x,"took 2nd punch, lost 1st",6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHW,16-116D,4,CA1,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHX,16-116D,1,DG,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHY,16-116D,2,DG,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BHZ,16-116D,3,DG,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIA,16-116D,4,DG,9.9x,stabbed center of brain too!!!,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIB,16-116D,1,CA4,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIC,16-116D,2,CA4,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BID,16-116D,3,CA4,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIE,16-116D,4,CA4,9.9x,didn't get all of punch,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIF,16-116D,1,CA2,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIG,16-116D,2,CA2,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIH,16-116D,3,CA2,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BII,16-116D,4,CA2,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIJ,16-116D,1,slice,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BIK,16-116D,2,slice,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BIL,16-116D,3,slice,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BIM,16-116D,4,slice,9.9x,,6/29/16,12:45,14:20,14:32,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BIN,16-123B,1,CA1,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIO,16-123B,2,CA1,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIP,16-123B,3,CA1,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIQ,16-123B,4,CA1,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIR,16-123B,1,DG,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIS,16-123B,2,DG,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIT,16-123B,3,DG,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIU,16-123B,4,DG,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIV,16-123B,1,CA3,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIW,16-123B,2,CA3,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIX,16-123B,3,CA3,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIY,16-123B,4,CA3,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BIZ,16-123B,1,CA4,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BJA,16-123B,2,CA4,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BJB,16-123B,3,CA4,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BJC,16-123B,4,CA4,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BJD,16-123B,1,CA2,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BJE,16-123B,2,CA2,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BJF,16-123B,3,CA2,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BJG,16-123B,4,CA2,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BJH,16-123B,1,slice,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BJI,16-123B,2,slice,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BJJ,16-123B,3,slice,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BJK,16-123B,4,slice,9.6x,,7/1/16,15:20,15:30,15:45,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BJL,16-123A,1,CA1,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BJM,16-123A,2,CA1,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BJN,16-123A,3,CA1,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BJO,16-123A,4,CA1,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,3 - BGD - BJO,2016,Collaboratorium,
BJP,16-123A,1,DG,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BJQ,16-123A,2,DG,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BJR,16-123A,3,DG,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BJS,16-123A,4,DG,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BJT,16-123A,1,CA3,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BJU,16-123A,2,CA3,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BJV,16-123A,3,CA3,yes,not sure I got it,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BJW,16-123A,4,CA3,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BJX,16-123A,1,CA2,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BJY,16-123A,2,CA2,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BJZ,16-123A,3,CA2,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKA,16-123A,4,CA2,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKB,16-123A,1,CA4,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKC,16-123A,2,CA4,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKD,16-123A,3,CA4,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKE,16-123A,4,CA4,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKF,16-123A,1,slice,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BKG,16-123A,2,slice,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BKH,16-123A,3,slice,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BKI,16-123A,4,slice,yes,,7/2/16,12:15,12:28,12:44,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BKJ,16-123C,1,CA1,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKK,16-123C,2,CA1,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKL,16-123C,3,CA1,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKM,16-123C,4,CA1,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKO,16-123C,1,CA3,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKP,16-123C,2,CA3,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKQ,16-123C,3,CA3,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKR,16-123C,4,CA3,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKS,16-123C,1,DG,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKT,16-123C,2,DG,yes,might have lost ,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKU,16-123C,3,DG,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKV,16-123C,4,DG,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKW,16-123C,1,CA2,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKX,16-123C,2,CA2,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKY,16-123C,3,CA2,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BKZ,16-123C,4,CA2,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLA,16-123C,1,CA4,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLB,16-123C,2,CA4,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLC,16-123C,3,CA4,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLD,16-123C,4,CA4,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLE,16-123C,1,slice,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BLF,16-123C,2,slice,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BLG,16-123C,3,slice,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BLH,16-123C,4,slice,yes,,7/3/16,12:10,12:24,12:38,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BLI,16-123D,1,CA3,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLJ,16-123D,2,CA3,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLK,16-123D,3,CA3,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLM,16-123D,4,CA3,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLN,16-123D,1,CA1,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLO,16-123D,2,CA1,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLP,16-123D,3,CA1,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLQ,16-123D,4,CA1,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLR,16-123D,1,DG,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLS,16-123D,2,DG,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLT,16-123D,3,DG,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLU,16-123D,4,DG,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLV,16-123D,1,CA2,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLW,16-123D,2,CA2,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLX,16-123D,3,CA2,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLY,16-123D,4,CA2,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BLZ,16-123D,1,CA4,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BMA,16-123D,2,CA4,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BMB,16-123D,3,CA4,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BMC,16-123D,4,CA4,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BMD,16-123D,1,slice,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BME,16-123D,2,slice,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BMF,16-123D,3,slice,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BMG,16-123D,4,slice,yes,,7/3/16,23:00,23:05,23:18,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BMH,16-117A,1,CA1,yes,slice 1 mangled,7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BMI,16-117A,2,CA1,yes,,7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BMJ,16-117A,3,CA1,yes,,7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BMK,16-117A,4,CA1,yes,"took 2nd punch, lost 1st",7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BML,16-117A,2,DG,yes,,7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BMM,16-117A,3,DG,yes,not certain I got it,7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BMN,16-117A,4,DG,yes,,7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BMQ,16-117A,2,CA3,yes,,7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BMR,16-117A,3,CA3,yes,,7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BMS,16-117A,4,CA3,yes,,7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BMV,16-117A,2,CA4,yes,,7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BMW,16-117A,3,CA4,yes,,7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BMX,16-117A,4,CA4,yes,,7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BMZ,16-117A,2,CA2,yes,,7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BNA,16-117A,3,CA2,yes,,7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BNB,16-117A,4,CA2,yes,,7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,4 - BJP - BNB,2016,Collaboratorium,
BNC,16-117A,1,slice,yes,"slice 1 mangled, didn't punch ca2, ca3, dg",7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BND,16-117A,2,slice,yes,,7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BNE,16-117A,3,slice,yes,,7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BNF,16-117A,4,slice,yes,,7/4/16,11:00,12:50,13:04,MK,RMH,300,250,,,,,,,,,,Slices Box 1,2016,students,
BNG,16-117C,1,DG,9.4x,,7/5/16,10:40,10:45,11:01,MK,RMH,300,250,,,,,,,,,,5 - BNG -  BQE,2016,Collaboratorium,
BNH,16-117C,2,DG,9.4x,,7/5/16,10:40,10:45,11:01,MK,RMH,300,250,,,,,,,,,,5 - BNG -  BQE,2016,Collaboratorium,
BNI,16-117C,3,DG,9.4x,,7/5/16,10:40,10:45,11:01,MK,RMH,300,250,,,,,,,,,,5 - BNG -  BQE,2016,Collaboratorium,
BNJ,16-117C,4,DG,9.4x,,7/5/16,10:40,10:45,11:01,MK,RMH,300,250,,,,,,,,,,5 - BNG -  BQE,2016,Collaboratorium,
BNK,16-117C,1,CA1,9.4x,,7/5/16,10:40,10:45,11:01,MK,RMH,300,250,,,,,,,,,,5 - BNG -  BQE,2016,Collaboratorium,
