Tube,Mouse,Slice,Punch,photos,notes,Date,ready.time,start.time,end.time,Slice.collector,Punch.Collector,SliceSize,Punchsize,punch.location,RNAisolationdate,RNAisolator,slice.location,best location,jobnumber,RNAseqID,Mouse-short,Random,storagebox,year,Purpose,region
EA,15-140A,3,CA2,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6/19/15,RMH,,,,,140A,,,2015,Collaboratorium,
EB,15-140A,2,CA2,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6/28/15,RMH,,,,,140A,,,2015,Collaboratorium,
EC,15-140B,1,DG,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,,,,,,,140B,,,2015,Collaboratorium,
ED,15-140B,2,DG,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6/19/15,,,,,,140B,,,2015,Collaboratorium,
EF,15-140B,3,DG,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,,,,,,,140B,,,2015,Collaboratorium,
EG,15-140B,4,DG,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,,,,,,,140B,,,2015,Collaboratorium,
EH,15-140B,4,CA1,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,,,,,,,140B,,,2015,Collaboratorium,
EI,15-140B,3,CA1,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,,,,,,,140B,,,2015,Collaboratorium,
EJ,15-140B,2,CA1,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,,,,,,,140B,,,2015,Collaboratorium,
EK,15-140B,1,CA1,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6/19/15,,,,,,140B,,,2015,Collaboratorium,
EL,15-140B,2,CA3,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6/19/15,,,,,,140B,,,2015,Collaboratorium,
EM,15-140B,1,CA3,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6/19/15,,,,,,140B,,,2015,Collaboratorium,
EN,15-140B,3,CA3,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6/19/15,,,,,,140B,,,2015,Collaboratorium,
EO,15-140B,4,CA3,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6/19/15,,,,,,140B,,,2015,Collaboratorium,
EP,15-140B,4,CA2,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,,,,,,,140B,,,2015,Collaboratorium,
EQ,15-140B,3,CA2,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,,,,,,,140B,,,2015,Collaboratorium,
ER,15-140B,2,CA2,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,6/19/15,,,,,,140B,,,2015,Collaboratorium,
ES,15-140B,1,CA2,,,6/18/15,NA,NA,NA,MK,RMH,300,250,outside cell body,,,,,,,140B,,,2015,Collaboratorium,
ET,15-140C,1,DG,,bad,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,8/24/15,RMH,,,,,140C,,,2015,Collaboratorium,
EU,15-140C,2,DG,,,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,8/31/15,BK,,,,,140C,,,2015,Collaboratorium,
EV,15-140C,3,DG,,slice three is best,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,8/31/15,BK,,,,,140C,,,2015,Collaboratorium,
EW,15-140C,3,CA1,,slice three is best,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,8/31/15,BK,,,,,140C,,,2015,Collaboratorium,
EX,15-140C,2,CA1,,,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,8/31/15,BK,,,,,140C,,,2015,Collaboratorium,
EY,15-140C,1,CA1,,,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,8/24/15,RMH,,,,,140C,,,2015,Collaboratorium,
EZ,15-140C,1,CA3,,,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,8/24/15,RMH,,,,,140C,,,2015,Collaboratorium,
FA,15-140C,2,CA3,,,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,8/31/15,BK,,,,,140C,,,2015,Collaboratorium,
FB,15-140C,3,CA3,,slice three is best,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,8/31/15,BK,,,,,140C,,,2015,Collaboratorium,
FC,15-140C,3,CA2,,slice three is best,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,,BK,,,,,140C,,,2015,Collaboratorium,
FD,15-140C,2,CA2,,,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,,BK,,,,,140C,,,2015,Collaboratorium,
FE,15-140C,1,CA2,,,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,8/24/15,RMH,,,,,140C,,,2015,Collaboratorium,
FF,15-140D,1,CA2,,,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,8/25/15,BK,,,,,140D,,,2015,Collaboratorium,
FG,15-140D,2,CA2,,,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,9/1/15,BK,,,,,140D,,,2015,Collaboratorium,
FH,15-140D,3,CA2,,,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,9/1/15,BK,,,,,140D,,,2015,Collaboratorium,
FI,15-140D,3,CA3,,,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,9/1/15,BK,,,,,140D,,,2015,Collaboratorium,
FJ,15-140D,2,CA3,,,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,9/1/15,BK,,,,,140D,,,2015,Collaboratorium,
FK,15-140D,1,CA3,,,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,8/25/15,BK,,,,,140D,,,2015,Collaboratorium,
FL,15-140D,1,CA1,,,6/19/15,NA,NA,NA,MK,RMH,300,250,outside cell body,8/25/15,BK,,,,,140D,,,2015,Collaboratorium,
