"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"T6_C3_AnnularSkewnes",0.0503790878606445,-0.0526720592971899,0.0312090640317009,0.0121552858196433,-0.0881366830921177,-0.0663629041793381,0.132457542943595,0.0876508249558065,-0.0741042033208726,0.0622528401311739,-0.0436125827570801,0.0869715102513064,-0.0044259908584309,0.0329358948669204,0.0568434422931131,-0.0185439853162195,-0.0306240595981262
"T6_C3_Entr.Dist.1.m.",0.120072188862284,-0.0357577391002446,0.0159557873137469,0.022292555097487,0.0355576990336278,0.049259715467046,0.0307844992091212,0.014550479570785,-0.0339952418858506,-0.0211948697269276,0.0877954695246882,-0.00401689266265503,-0.0317590389915327,0.00741468414360164,0.0508268871242199,-0.0156816820008316,0.00158020891178907
"T6_C3_Linearity",0.0601439005357307,-0.0261977019821961,-0.123629709355831,-0.0058806807553739,0.0613686274615191,-0.0183634429753025,-0.0234525713312042,0.0232979840520865,0.0528879718864858,-0.0384965366309447,0.0862768738529904,0.0864137174660765,0.0505150564942147,-0.133397616998604,0.0274437819082364,-0.0570169267984461,-0.0898333526925103
"T6_C3_Max50.RngHiBin",-0.0774880342390325,0.0873408170114688,-0.0921654054917969,-0.0601469193473919,-0.0295081866722343,-0.034420170665322,0.020846123786964,0.0425054506845623,-0.0308973856942553,-0.0302445749824666,-0.0141509503131475,0.0357933859816158,-0.0214505155587663,0.0618492623864116,-0.0018307635115193,0.00338574698266339,-0.0264690905486618
"T6_C3_Max50.RngLoBin",-0.0817434300642473,0.0949279488506539,-0.0548695622401315,-0.0787729513039578,-0.0495723928494703,-0.0301767480552253,-0.0331238878921602,0.0184171261149229,-0.049397176258627,-0.0163952196009157,-0.0228707847919195,0.0136191287654481,-0.0108112842120486,0.026602296829813,-0.0372433696820696,0.000277098969923728,0.00928871241800319
"T6_C3_MaxPathAvoid",-0.0873995059333666,0.062970466824064,-0.0356847409640865,-0.0574569234712176,-0.0225436005882027,-0.0725651640775721,-0.0369600334510216,0.106851596753619,-0.0471881347571528,0.0289619513296244,-0.0135233645438884,-0.0458272383329532,-0.00925181272803704,0.00283998280848819,0.0691623840006207,-0.0984731680390385,0.00586977205569284
"T6_C3_MaxTimeAvoid",-0.105743139634765,0.0710221154281133,0.0352864401572243,-0.0378592711310374,-0.0377056409078184,-0.0260761853886247,-0.0304727974805033,0.0612875196757348,-0.041197494567019,0.0103655388878891,-0.0397073568226777,-0.0116803663228531,-0.0138529227556595,-0.0559674116650773,-0.00648358538041209,0.0877164029642199,-0.00125616620630525
"T6_C3_Min50.RngHiBin",-0.0786115507684077,0.0988223043812155,-0.0474132190422877,-0.0801818997486238,-0.0418529852792949,-0.0296915115662953,-0.0411472146922393,0.0158737307177503,-0.0613718946564467,-0.00642617833154401,-0.0421433921444698,0.00388597569546355,-0.0180970135696926,0.0154362515101227,-0.04390222220554,0.00838751119028424,0.0220058394812422
"T6_C3_Min50.RngLoBin",-0.0759451878616529,0.0932296489243104,-0.0866491949465113,-0.0628428601518342,-0.0221373703121173,-0.0346896815350065,0.0132485266422572,0.0409082189316709,-0.0438239598564018,-0.020701600669874,-0.0342555942219989,0.0266454356476611,-0.0294548235634678,0.0518457541182619,-0.00858967619149843,0.011815309319258,0.027846368625679
"T6_C3_NumEntrances",0.120344186859493,-0.0366367323271362,0.0137559967603293,0.0178317881556242,0.0384907262280866,0.0484936290896086,0.0309517990518269,0.0162823384891804,-0.0415456365459066,-0.0103733295423729,0.0892332099850269,-0.000369395525185056,-0.0176544358635636,-0.00340860202587912,0.0429758758588818,-0.0136508301638573,0.00292118134033182
"T6_C3_NumShock",0.120344186859493,-0.0366367323271362,0.0137559967603293,0.0178317881556242,0.0384907262280866,0.0484936290896086,0.0309517990518269,0.0162823384891804,-0.0415456365459066,-0.0103733295423729,0.0892332099850269,-0.000369395525185056,-0.0176544358635636,-0.00340860202587912,0.0429758758588818,-0.0136508301638573,0.00292118134033182
"T6_C3_Path1stEntr",-0.0938912101062879,0.0606905375626112,-0.0247185884680983,-0.0661857876164286,-0.0365486786131347,-0.0675809639878279,-0.0514040513087276,0.0812534466325342,-0.0452072704059024,0.0324590759640828,-0.000360479896719913,-0.0550771198045225,-0.0159928432552186,0.00747841658882013,0.0329060375215376,-0.0797856477132598,-0.00269958866043692
"T6_C3_Path1stShock",-0.0938912101062879,0.0606905375626112,-0.0247185884680983,-0.0661857876164286,-0.0365486786131347,-0.0675809639878279,-0.0514040513087276,0.0812534466325342,-0.0452072704059024,0.0324590759640828,-0.000360479896719913,-0.0550771198045225,-0.0159928432552186,0.00747841658882013,0.0329060375215376,-0.0797856477132598,-0.00269958866043692
"T6_C3_Path2ndEntr",-0.104045218643658,0.0394408337111119,-0.0191175588855996,-0.0670781001566787,-0.0937964950216384,-0.0301384262187585,-0.0511685764321115,0.00676259307113385,-0.0157616288071468,0.0211437809562733,-0.0143083453873399,-0.026622744502561,-0.0117852082150064,-0.0249975014511879,-0.0513039756967966,0.0785955477056687,-0.00799894964304843
"T6_C3_PolarAvgVal",0.00486884825524043,0.100732651815362,0.10534132927543,0.00461834093233337,0.100310398826338,0.00154770648700643,0.0326609327170924,0.0917339248483236,-0.0133022574064522,0.0366105946348978,0.0472753583431803,0.0171311218297436,-0.0019006002787617,-0.0307581162702186,-0.0149688741783554,0.0270088277904579,-0.0156801731264215
"T6_C3_PolarMaxBin",-0.0706241457428985,0.0988844477326775,-0.0795537433316277,-0.0605651324770811,-0.0416256204810731,-0.0262031417426912,-0.0121732580969328,0.00548454729604259,-0.0736879671582531,0.0106678847156412,-0.0502241191175839,-0.0167323415914667,0.0307692211020181,-0.00661261087575378,-0.0638088964113032,-0.0215830262263832,0.0194791746398521
"T6_C3_PolarMaxVal",-0.0213278700054658,-0.00771142529294568,0.120928562654101,-0.0621010697823193,-0.0664535054531405,0.0213121575611076,-0.113700883330635,-0.0606662162047487,-0.0301790454263265,0.0170640775682209,-0.0612428595468249,0.041916261502274,0.00520373234060691,-0.108315630860353,-0.0856182464338049,0.0855609900205441,-0.00920324457342282
