ID,Year,Genotype,TrainProtocol,TrainSequence,TrainGroup,Day,TrainSession,ShockOnOff,PairedPartner,Experimenter,Housing,TestLocation,genoYear,APA,genoAPA,TrainSessionCombo,genoAPATrainSessionCombo,genoAPATrainSessionComboInd,pair1,pair2,TotalPathArena.m,SpeedArena.cm.s,SdevSpeedArena.,Linearity.Arena.,NumEntrances,Time1stEntr,Path1stEntr,Speed1stEntr.cm.s.,Dist1stEntr.m.,NumShock,MaxTimeAvoid,Time2ndEntr,Path2ndEntr,Speed2ndEntr,TimeTarget,pTimeTarget,pTimeCCW,pTimeOPP,pTimeCW,RayleigLength,RayleigAngle,PolarAvgVal,PolarSdVal,PolarMinVal,PolarMinBin,Min50.RngLoBin,Min50.RngHiBin,PolarMaxVal,PolarMaxBin,Max50.RngLoBin,Max50.RngHiBin,AnnularMinVal,AnnularMinBin,AnnularMaxVal,AnnularMaxBin,AnnularAvg,AnnularSd,AnnularSkewnes,AnnularKurtosis,Speed1,Speed2,EntrShockDiff
15147C,2015,WT,3-day,train-train,trained,1,T3,On,15147D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T3,WT_trained_trained_T3,_15147C,15147C_,15147D_,14.33,2.39,2.39,0.3559,1,445.53,11.59,6.41,NA,1,445,NA,NA,NA,1.067,0.0026,0.1052,0.8444,0.0478,0.78,180.08,263.88,41.59,0,10,200,170,0.12,200,160,220,0.0058,8.5,0.4175,18,16.53,12.73,2.67,15.61,0.026013961,NA,0
15147C,2015,WT,3-day,train-train,trained,2,Retest,On,15147D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,Retest,WT_trained_trained_Retest,_15147C,15147C_,15147D_,14.37,2.39,2.22,0.385,1,433.5,10.18,2.94,NA,1,433,NA,NA,NA,0.6,0.0017,0.3638,0.5764,0.0581,0.79,143.23,229.36,42.2,0,0,160,130,0.1253,140,110,170,0.0089,3.5,0.3505,18,16.34,13.07,2.27,10.66,0.023483276,NA,0
15147C,2015,WT,3-day,train-train,trained,2,T5,On,15147D,Maddy,AnimalRoom,MBL,WT_2015,trained_trained,WT_trained_trained,T5_C2,WT_trained_trained_T5_C2,_15147C,15147C_,15147D_,12.4,2.07,2.17,0.3232,1,91.23,2.1,1.96,NA,1,508,NA,NA,NA,0.866,0.0022,0.4459,0.552,0,0.81,137.47,226.65,37.29,0,0,170,130,0.1268,140,110,180,8.00E-04,11.1,0.4187,18,16.84,7.01,0.66,3.12,0.023018744,NA,0
15140A,2015,WT,3-day,train-conflict,trained,2,Retest,On,15140B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,Retest,WT_trained_conflict_Retest,_15140A,15140A_,15140B_,14.04,2.34,3.11,0.2895,1,432.07,10.56,9.38,NA,1,432,NA,NA,NA,1.067,0.0026,0.2945,0.63,0.0729,0.72,159.36,246.61,46.73,1.00E-04,340,170,120,0.0911,150,110,190,0.01,3.5,0.3537,18,16.62,15.14,2.42,11.83,0.024440484,NA,0
15143A,2015,WT,3-day,train-conflict,trained,1,T3,On,15143B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,T3,WT_trained_conflict_T3,_15143A,15143A_,15143B_,13.87,2.31,2.4,0.3501,1,585.8,15.72,1.23,NA,1,585,NA,NA,NA,0.633,0.0017,0.3282,0.6701,0,0.87,143.8,233.38,30.38,0,0,160,140,0.1439,140,130,180,0.0087,3.5,0.4257,16.6,15.91,12.8,3.17,17.42,0.026835097,NA,0
15143A,2015,WT,3-day,train-conflict,trained,2,C3,On,15143B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,T6_C3,WT_trained_conflict_T6_C3,_15143A,15143A_,15143B_,14.06,2.34,2.5,0.3203,1,487.9,13.89,5.16,NA,1,487,NA,NA,NA,0.9,0.0016,0.0211,0.452,0.5253,0.7,214.88,128.85,49.35,0,350,230,180,0.0979,210,170,250,0.0059,3.5,0.3888,16.6,15.68,12.85,1.78,7.19,0.028468949,NA,0
15144A,2015,WT,3-day,train-conflict,trained,1,T3,On,15144B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,T3,WT_trained_conflict_T3,_15144A,15144A_,15144B_,16.01,2.67,2.31,0.3982,1,400.93,10.96,2.99,NA,1,400,NA,NA,NA,1.3,0.0032,0.0464,0.5718,0.3786,0.73,211.05,271.83,53.67,0,0,240,200,0.087,240,180,250,0.003,3.5,0.5344,16.6,16.13,9.21,3.62,28.76,0.027336443,NA,0
15144A,2015,WT,3-day,train-conflict,trained,2,Retest,On,15144B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,Retest,WT_trained_conflict_Retest,_15144A,15144A_,15144B_,13.35,2.23,3.22,0.2413,1,375.97,11.65,10,NA,1,375,NA,NA,NA,1.3,0.0033,0.1066,0.7817,0.1084,0.71,175.21,251.32,51.27,0,0,190,150,0.1095,160,130,200,0.0099,3.5,0.4098,16.6,15.94,13.48,2.73,14.14,0.030986515,NA,0
15144A,2015,WT,3-day,train-conflict,trained,2,C3,On,15144B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,T6_C3,WT_trained_conflict_T6_C3,_15144A,15144A_,15144B_,15.91,2.65,2.64,0.3564,1,388.47,9.84,2.52,NA,1,388,NA,NA,NA,0.934,0.0016,0.1818,0.7246,0.0921,0.77,153.52,79.65,45.21,0,10,160,120,0.1211,150,110,180,0.0038,8.5,0.488,16.6,15.92,11.54,3.79,24.56,0.025330141,NA,0
15145A,2015,WT,3-day,train-conflict,trained,1,T3,On,15145B,Maddy,AnimalRoom,MBL,WT_2015,trained_conflict,WT_trained_conflict,T3,WT_trained_conflict_T3,_15145A,15145A_,15145B_,15.41,2.57,2.44,0.3682,1,324.37,8.84,4.21,NA,1,324,NA,NA,NA,0.633,0.0015,0.1797,0.7551,0.0637,0.76,166.51,250.13,43.89,0,0,190,150,0.1076,170,140,210,6.00E-04,3.5,0.4427,15,15.28,9.64,1.54,7.27,0.027252829,NA,0
